longitude,latitude,AnnualTs
-111.6793058,38.80402726,6.296935558
-111.6876392,38.7873606,7.170051098
-8.604306241,38.6373606,17.62857246
-7.99597291,38.5373606,0
-90.80430591,38.47902726,13.52798939
-8.02097291,38.47902726,18.66394043
-119.5376391,38.39569393,3.849286795
-112.6459725,38.3623606,10.52723408
-113.0126392,38.34569393,12.42165756
-112.4376392,38.30402726,3.840622425
-78.1126393,38.2373606,15.73960304
-112.2543058,38.15402727,10.93673515
-112.1709725,38.07069393,3.930315018
-110.7709725,38.07069393,6.406931877
-111.3376392,38.04569393,3.438486338
-94.03763923,37.9873606,14.7931881
-110.7959725,37.97902727,6.681802273
-79.19597263,37.92069393,13.76686668
-112.4376392,37.87069393,7.167610168
-118.4209725,37.77902727,13.8320179
-112.6543058,37.70402727,7.654092312
-109.3626392,37.67069393,12.0007
-112.9293058,37.59569393,6.477092266
-77.00430597,37.57902727,17.78192711
-112.8376392,37.57069393,4.729989052
-113.0543058,37.52902727,6.442517281
-112.2709725,37.52069393,8.356106758
-113.3959725,37.5123606,9.354008675
-111.2626392,37.5123606,14.55799007
-108.1126392,37.50402727,3.518945456
-113.9459725,37.49569393,7.964766979
-113.8459725,37.4873606,11.60723877
-112.5126392,37.4873606,10.27968502
-109.3376392,37.44569393,14.83821869
-113.4626392,37.40402727,7.514139652
-86.03763926,37.1873606,15.60920429
-97.08763922,37.12902727,15.17780113
-113.3543058,37.10402727,18.88734627
-93.8793059,37.07069394,14.89836216
-92.26263924,36.99569394,13.26215839
-105.2376392,36.7873606,6.222735882
-76.7626393,36.6873606,17.08500671
-80.12930596,36.6373606,15.59580517
-105.4543059,36.57902727,3.894770384
-105.3293059,36.41236061,6.169746876
-115.8209725,36.36236061,9.193748474
-115.6709725,36.30402727,6.121460915
-115.6126391,36.26236061,13.02074051
-108.9459725,36.17902727,6.548063278
-115.6126391,36.16236061,10.89545727
-106.0543059,36.08736061,14.67157364
-105.6293059,36.07069394,4.413256645
-106.5459725,36.00402727,7.254532814
-76.64597264,35.87069394,18.1404686
-115.7126391,35.46236061,20.30101585
-90.45430591,35.27902728,17.77470398
-119.5959725,35.12069394,21.43340492
-86.89597259,35.07069394,15.62601089
-86.58763926,35.06236061,16.92371368
-119.4793058,34.97069394,20.36387444
-111.5126392,34.97069394,21.34129143
-91.87930591,34.85402728,17.87838364
-87.98763926,34.82069395,17.20624733
-90.82097258,34.78736061,18.33729744
-86.5459726,34.78736061,16.87101364
-106.7626392,34.77069395,16.45765495
-90.41263925,34.68736061,17.51847649
-86.67930593,34.43736061,16.72988129
-106.6876392,34.35402728,17.41508865
-79.72930596,34.30402728,18.9146328
-91.35430591,34.27902728,18.41970825
-105.4126392,34.25402728,15.01779842
-92.02930591,34.25402728,18.66298676
-87.45430593,34.17902728,16.87320137
-90.89597258,33.97069395,18.67741394
-90.57097258,33.66236062,19.44966316
-88.76263925,33.63736062,19.05971718
-102.7459725,33.62902728,17.45539474
-91.09597258,33.62069395,19.49418259
-102.0376392,33.61236062,17.80073166
-102.3709725,33.55402728,18.13653183
-99.86263921,33.44569395,20.24538803
-105.7876392,33.40402728,6.091547489
-90.51263925,33.08736062,18.73684692
